scaled_amount,scaled_time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
0.188111478,-1.038700189,-0.577767059,-0.543004532,1.733124365,-2.454441454,-1.356039754,-0.786371767,0.316506957,-0.156696173,-2.441201712,0.547454815,-0.702852423,-1.2916911,0.132135146,-0.400064393,-0.012213844,-0.031824969,0.18870657,-0.07809456,-0.834528739,-0.097444199,-0.307579468,-0.868730029,0.29554775,0.29330666,-0.106953852,-0.641505775,0.042013118,0.110608463,0
0.022230882,-1.038679131,1.013147578,-0.50788138,0.676297278,0.794086063,-0.758102597,0.200467264,-0.38870178,0.160863662,0.767327385,-0.186330627,0.390191793,1.068058024,-0.340141997,-0.245389984,-1.535664887,-0.167716556,-0.096751641,0.008025041,0.748098956,0.060194814,-0.064816131,-0.093121168,-0.189258564,0.084861336,0.487366831,0.52182777,-0.027033442,0.014486266,0
-0.349671096,-1.038679131,-0.405487136,1.116727964,1.289798206,0.012056618,0.335910002,-0.519953707,0.662033825,0.018069651,-0.531287346,-0.576710501,0.163254028,0.488513088,0.999246788,-0.57877238,1.048148578,0.046335981,0.236363808,-0.698043111,-0.454768068,0.144224067,-0.224123004,-0.503057778,0.005486912,0.047609056,-0.202345248,0.09863689,0.267508557,0.097384148,0
-0.349671096,-1.038679131,-0.339515691,1.164578528,1.306726818,0.057967387,0.074577602,-0.98048436,0.729890254,-0.095858703,-0.456715378,-0.521347793,-0.140237278,0.142380619,0.531976414,-0.511843827,0.848268486,0.362292283,-0.01474572,-0.19056555,-0.093500898,0.136114392,-0.260051116,-0.655186712,-0.024580582,0.345880622,-0.147460448,0.070538284,0.249046477,0.099087433,0
-0.236085467,-1.038658073,1.231406042,-0.098044251,0.43070822,-0.201358656,-0.325267192,-0.098798054,-0.299592309,0.010626122,0.02071377,-0.038686959,0.908925919,1.201142928,1.269890105,0.026181269,0.52280987,0.927457618,-1.028192588,0.213018835,0.546465854,0.093728747,-0.169968903,-0.537601254,0.00642851,-0.434976868,0.11635831,0.816588317,-0.06489802,0.002669966,0
0.811772943,-1.038637015,0.708695406,-0.753147837,-0.07398281,0.614064095,-0.2190859,0.127813876,0.294030078,-0.069912217,0.093310974,-0.268189589,-0.703641067,0.346241392,0.748716494,0.182501682,1.358613337,0.331638526,-0.46407504,-0.705954109,-0.240165072,0.508888458,-0.156715779,-1.06473018,-0.151644415,-0.760024857,0.078615148,0.083573764,-0.060990143,0.061074414,0
0.634297897,-1.038615957,1.103946582,-1.877982332,0.19586607,-1.317966652,-1.703178175,-0.249738717,-0.989370973,-0.122936344,-1.499800755,1.331829031,-1.336992277,-1.406762162,0.339545562,-0.408430891,0.97906107,0.146575716,0.100285419,0.682611772,-0.197289989,0.157997856,0.021436779,-0.073652882,-0.305540511,-0.450750554,0.351683602,-0.075248057,0.003560656,0.058790546,0
-0.323803479,-1.038594899,0.129906853,0.639529034,-0.293065051,-0.26715458,2.75325405,3.487658849,0.346140023,0.614946835,-0.546878418,0.110817288,-0.189333041,-0.369655768,-0.061498641,0.255702168,1.238359946,-0.041737198,-0.804418833,0.508834903,0.747027223,0.173488723,0.033496355,0.169299392,-0.203106345,1.003615384,-0.045488714,-0.343131597,-0.056332703,-0.155102972,0
-0.345273201,-1.038594899,-1.843077997,2.039960814,0.647949256,-0.217428478,-0.532801695,-0.524397729,-0.069993284,0.593071936,-0.339765302,-0.068043597,-0.895643408,0.83472683,1.780355278,0.073894381,0.766548574,0.47288674,-0.447856277,-0.089900308,0.094892234,-0.027464208,0.05253537,-0.004034505,-0.053341299,-0.075723443,-0.241697134,0.092772077,-1.050917378,-0.446668508,0
-0.28906011,-1.038573841,-1.349335681,1.828844416,0.186581262,0.79065225,-0.474913991,-0.7053072,0.066445531,0.74425929,-0.525056323,-0.041631745,-1.1709245,-0.142425885,-0.227050487,0.903066666,1.0431785,0.00945871,0.024419728,0.324266433,0.499809029,0.002324642,0.147710574,0.336477789,-0.104229835,0.024958045,-0.079660812,-0.297889674,0.146306664,0.13854015,0
-0.338076646,-1.038573841,-0.866465005,0.642951122,1.368570517,0.852339955,0.381349595,-0.016407225,0.281793089,-0.027170066,-0.17200537,0.072946819,-0.482015109,0.045195248,0.446726201,-0.031314756,1.585300777,-0.214957437,-0.201898243,-0.243333908,0.191364505,-0.287961137,-0.017546346,0.166867563,0.223561284,-0.291227574,-0.19347825,-0.422691084,-0.174582582,-0.004985211,0
-0.2932581,-1.038552783,1.550916902,-1.054285719,0.209496202,-1.424106325,-1.424389203,-0.776519329,-1.002619541,-0.14886634,-1.62195994,1.477841744,-1.135918734,-1.707901315,-0.666927917,-0.087616886,0.740532196,-0.197713108,0.399775937,0.273959203,-0.04910798,-0.390230246,-0.260621308,-0.417636326,-0.013209118,-0.172014009,0.41083882,-0.171212014,0.020906158,0.013457549,0
-0.306811612,-1.038552783,1.157228846,0.072831836,0.652548951,0.864818158,-0.471951859,-0.410187131,-0.041939943,-0.056300984,0.339107293,-0.259480754,-0.039331476,1.012708121,0.536110284,-0.149712646,-0.053278221,-0.699939533,0.39190969,-1.347657113,-0.268565599,-0.110823474,-0.172676875,-0.260470911,0.07099669,0.462841923,0.358068711,0.275577634,-0.00210665,0.015090018,0
-0.029384411,-1.03848961,-0.673336853,1.063299635,0.717096471,0.774813199,-0.202578936,-0.189182591,0.584056815,0.417926051,-1.052342905,-0.330964701,0.674024299,0.429559655,-0.230306503,0.904253878,0.332574808,0.118561966,-0.380135902,0.818646522,0.826120949,0.045932345,0.268958418,0.521788892,0.008810483,-0.002675492,-0.19966518,-0.330780828,0.017011863,0.093098483,0
0.482370622,-1.03848961,-3.064792646,-1.398985556,1.764694095,0.698771949,0.090282635,0.589841939,-0.451161896,0.931380313,-0.075742625,-0.9053132,0.94061107,0.546671715,-1.011513608,0.39794639,0.051116143,0.342878221,-0.114405136,0.064453829,-1.414745402,-0.236378067,0.332375634,0.639762567,-0.591725162,-0.232702011,0.237211624,-0.302599268,0.132746344,-0.389444032,0
1.101874077,-1.03848961,0.510314588,-1.356014577,0.755894266,1.007476994,-1.519312676,-0.304622455,-0.218151494,-0.003871539,0.92246874,-0.330287287,-0.771016391,-0.131154623,-0.689756133,-0.06008587,0.791160449,0.420691325,-0.259769566,0.189886092,-0.335786169,0.58202493,0.298512608,0.170278892,-0.355904229,0.454585048,0.168530001,0.537318386,-0.067797128,0.08386565,0
-0.322524091,-1.038468552,-1.516603922,1.555448387,0.45270833,-1.431216544,-0.7245221,-0.693290574,-0.239516522,0.951035027,-0.211013958,-0.348045119,0.834335626,1.337218545,0.898676751,0.425399127,-0.295256261,1.109644638,-0.790732546,0.174960478,-0.422342071,0.108028957,-0.046896599,-0.205539175,0.050058066,0.056894952,-0.060788211,0.737705549,0.146922537,0.03998312,0
0.428396458,-1.038447494,-0.784664921,0.692709646,0.807947834,0.498868965,-0.47113999,-0.296828056,1.731880483,-0.289672451,-0.234838126,-0.513640359,-0.164862518,0.225886754,-0.412690387,0.06369535,-0.427583338,-0.535845914,0.011817314,-0.980639669,-1.332891275,-0.468200357,0.080996858,0.498631449,0.07506136,0.625821629,0.054745046,-0.49480914,-0.063025308,-0.030276774,0
-0.228888912,-1.038426436,1.2671441,0.225157807,-0.155857302,0.542070079,0.00613957,-0.877961997,0.368255887,-0.302913213,-0.120714405,-0.039148652,-0.703573068,0.201901376,0.444453962,0.328136543,0.796076977,0.134077544,-0.485852048,-0.357435539,0.065124726,-0.020534515,-0.07071328,-0.211659647,-0.148755944,-0.068845136,0.63683962,0.394646387,-0.055432697,0.006205468,0
0.034505006,-1.038426436,-1.575311409,0.252981629,2.029968812,-1.079211077,-0.854265559,1.022720568,-0.13570658,0.971905584,0.334331185,-1.335884606,0.790814711,0.594775294,-1.42917567,0.052134341,-1.027606243,-0.10836698,0.406948586,-0.77584651,-0.576015779,-0.350379111,-0.049236106,-0.131027719,0.082209141,-0.247123089,0.004102132,0.880837721,-0.203484397,-0.068666721,0
0.278468226,-1.038426436,1.043489801,-0.8172081,0.599995767,0.589896262,-1.045042068,-0.044285638,-0.465528187,-0.115655808,-0.612585794,0.591887288,-1.158938896,0.516064537,1.62295531,-0.505557251,0.22957432,-1.344040786,-0.309104584,1.46189724,-0.982718621,-0.145013485,-0.170895952,-0.124089281,-0.260557835,-0.093953003,0.578340573,-0.211276303,0.057329217,0.057735907,0
0.070527763,-1.038426436,1.001991715,0.04793838,-0.349001552,1.493958437,0.186938875,0.190965634,-0.001112104,0.147140195,0.58041534,-0.792937991,-0.984171728,-0.567380065,-1.10559225,-1.381213542,0.405490421,0.279890165,1.13216021,0.092992976,-0.298920455,0.016003673,-0.334417439,-1.014314673,-0.128427316,-0.946241838,0.456090275,-0.453205972,0.046627092,0.064698354,1
-0.06968512,-1.038405378,-0.421960649,0.724607274,1.219130786,0.966396581,0.095286895,-0.771112321,0.9114589,-0.168807758,-0.653663182,-0.257884324,-0.557654131,-0.210273577,-0.101152479,0.386623979,1.03665404,-0.309042455,-0.183544286,0.159801087,0.420105328,0.169318151,0.207265463,0.483783085,0.015027466,0.385443045,-0.228710296,-0.336381886,0.144886615,0.171693458,0
-0.350230828,-1.038405378,-0.953110328,0.978289317,1.778720559,1.427415356,1.307653332,-1.033407412,1.269549121,-0.331362025,-1.453635623,0.223118122,-0.780507664,-0.874631831,-0.872161717,0.316447563,-0.255424006,0.415348209,-0.748316185,-0.340919897,-1.366665786,-0.020258091,0.00953862,-0.077904431,-0.3818116,0.367124013,0.705680408,-0.042510638,-0.205492424,-0.164641635,0
11.84369218,-1.038405378,-7.234663366,4.013910715,-3.883894165,-2.686813691,-11.94070162,8.141054763,3.631226825,-19.01392468,2.992496759,-0.498931702,0.577342245,1.180932614,-0.3125183,-0.203609549,1.81768867,1.524168601,0.269330046,-0.598960827,-0.809950755,-8.88485064,13.39298558,-6.129679653,-9.835094533,1.413067126,-1.920005392,-0.252660163,3.717435573,-1.346962357,0
-0.29789588,-1.03838432,-3.560544541,1.678731317,-0.291054128,1.275505375,-0.632883754,0.278107807,-0.836805394,1.395434312,-0.286784291,0.428829248,0.288075175,0.835984573,-0.679043522,1.006021773,-0.284606681,-0.498818856,0.786761646,0.031357501,1.307478519,-1.069673116,-0.015148625,0.239360307,0.327821587,-0.287968886,0.279597231,-0.257296967,-1.232728986,-0.396484137,0
0.046579226,-1.03838432,0.051589904,0.21555974,1.770046455,0.363954074,-0.874854207,-0.371908103,0.477500846,-0.265044773,-0.006924376,-0.015884153,-0.173888889,-0.2832859,0.177202351,-0.165868277,2.13101194,-0.190793876,0.043227256,0.099706095,1.649873339,0.465418183,-0.000762605,0.060374045,0.272960138,0.438244228,-0.903435738,1.017603697,-0.136117912,-0.13712531,0
0.20446365,-1.03838432,0.889450484,0.09868617,0.688006752,2.452942376,-0.099005791,0.337595771,0.071724026,0.05591366,-0.684911932,0.528956687,-0.488067576,0.273259574,0.810723574,0.083406781,0.913279092,0.718061357,-0.601567324,-0.712199574,-1.271538291,0.153219542,-0.117552314,-0.654427308,0.01371348,-0.307165899,0.126135695,-0.223326424,0.000559413,0.051513894,0
1.36594767,-1.03838432,0.35953446,-1.556010273,0.822274762,1.139709009,-1.746141286,-0.475018926,-0.120624355,-0.045267225,0.888436963,-0.362183786,-0.472915283,-0.005447429,-0.708539232,-0.030642317,0.771788041,0.332340601,-0.140133835,0.092834388,-0.480423079,0.707109753,0.360434234,0.198858672,-0.374724451,0.772121372,0.101242367,0.510558211,-0.079579522,0.098606687,0
-0.285301909,-1.038321146,-0.891930154,0.621837594,1.283645388,-0.406638228,0.512368978,-0.927534392,0.679027296,-0.032034057,-0.634167412,-0.621668491,1.375249486,0.709461634,0.125491497,-0.275144331,-0.299304553,0.828879236,-0.554640084,0.288721434,-0.468811692,-0.11882131,-0.103254606,-0.420629586,0.219934106,0.275689116,-0.532928933,-0.152965215,-0.031029271,0.166865702,0
-0.201701926,-1.038300088,-0.960948108,1.114119795,1.753568981,-0.097060498,0.350991664,-0.049415943,1.049971034,0.180827488,-0.846966474,-0.509953068,1.185530909,-0.048889032,-1.7187369,0.78550975,-0.031639779,0.277357148,-0.527871286,-0.389329311,-0.695555502,-0.265174661,-0.346730314,-1.269120313,-0.035235107,-0.106418694,0.098359526,-0.916571677,-0.091075127,0.042709622,0
-0.349231307,-1.03827903,-0.311512035,1.27563163,0.688887469,0.46943927,0.926222049,-0.093925787,0.770363293,0.111694214,-0.963904923,-0.883673349,1.611260296,0.610863955,0.42382582,-1.074962511,0.359759588,0.386713684,0.563156945,0.713163486,-0.391896906,-0.025195757,0.084768775,0.298482421,-0.306392736,-0.407748695,0.211172332,-0.337285636,0.073925385,0.041539615,0
-0.291139114,-1.038236915,1.047325519,-0.171111224,1.353581326,1.803047733,-0.876822713,0.413906246,-0.525019468,0.266524796,1.239107733,-0.417403822,-0.827809365,1.052567852,-0.393359722,-0.707931692,-1.719204834,-1.237668038,0.896981527,-1.450471847,0.050644722,-0.214053501,-0.391974393,-0.667834918,0.12138612,0.406027312,0.378203628,-0.530200761,0.090351254,0.032762446,0
-0.244241563,-1.038236915,-0.806709738,1.172413116,1.762871774,0.039448593,-0.01591913,-1.193848348,1.175624501,-0.239210909,-0.587020771,-0.657715792,-0.164541514,0.044161482,-0.248032798,0.235715335,0.185012957,0.090707852,-0.529705196,-0.248926834,-1.222958705,-0.202754683,0.154630196,0.351446907,-0.249724136,0.917173384,0.333169959,-0.532385638,-0.06019605,0.09461419,0
-0.124338958,-1.038215857,-0.441985599,0.797969768,1.644437978,1.217325756,0.114750958,0.377782453,0.885174467,0.013749713,-0.415310666,0.237239294,1.318392186,0.712531934,-0.476004605,0.057115289,-0.446364838,-1.148393674,0.356824907,-0.238808678,0.92913753,0.297923229,0.003370935,0.430641925,-0.067761369,0.22557111,-0.1617059,-0.282508058,0.245466971,-0.024150846,0
2.05010018,-1.038194799,-1.948510224,-2.501723079,0.817369081,-1.775481545,-1.651220786,-0.49573217,1.724863713,-0.366498317,-2.733961669,0.130623787,-0.87601647,-0.986839739,0.719216709,-0.495522616,-0.94663346,-0.74573368,0.604669172,-0.021468278,-0.58110732,1.172251846,0.254066338,-0.091531428,1.151174541,0.332918797,0.982822128,-0.168001458,-0.198096411,0.108490622,0
-0.2236914,-1.038173741,1.192976461,0.136367694,0.593943224,0.651880783,-0.569740987,-0.918862335,0.038498673,-0.188735027,0.086945475,-0.101380097,-0.196701795,0.467942,0.463328393,0.168183118,1.024993244,0.35031658,-0.438487769,-0.570291949,-0.114769255,-0.021159847,-0.28735391,-0.8969764,0.152245808,0.375684736,0.130695638,0.029805733,-0.028169563,0.027665376,0
-0.316606923,-1.038173741,-0.705662399,1.355315795,0.773463446,0.651367366,0.239921185,0.19628256,0.318292889,0.489320527,-1.096041519,-0.227233692,1.061510484,1.010531378,0.634681394,0.710542002,0.488276959,-0.24442354,-0.152508613,0.219962692,0.481100544,-0.112703734,0.279040124,0.715602083,-0.144318011,-0.27525334,-0.285785265,-0.314782612,-0.067432848,0.081816222,0
-0.061529024,-1.038173741,1.384280393,-1.513393486,0.852839137,-1.641775078,-1.669311409,0.546134878,-1.762390769,0.211051314,-1.46246982,1.524153194,0.140691865,-0.438300976,1.15240457,-0.703764596,0.519330004,0.728238347,-0.486098503,1.555211222,0.048378083,-0.110971976,0.089037848,0.538543261,-0.213935472,-0.812853889,0.318753556,0.006055415,0.069037332,0.027411688,0
-0.349271288,-1.038152683,1.317629886,0.401123223,-0.025623362,0.486690069,0.120225369,-0.571153889,0.13011869,-0.202052734,-0.048986242,-0.308055497,-0.660363637,0.446499987,1.29158365,-0.52089476,1.054435796,0.680177998,-0.363014536,-0.138155089,0.112079979,0.003695059,-0.332725276,-0.908871352,0.015240533,-0.470574628,0.35952295,0.143484883,-0.018016728,0.024143115,0
